Talhao;Plantio;IdParcela;AreaParc;DataPlantio;DataColeta;Linha;Arvore;Fuste;Cap;Ht;Categoria1;Categoria2;Inclinacao;CoordenadaX;CoordenadaY;Observacao
T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;2;2;1;57.2;;NORMAL;;0;-5397621603;-2049648113;
T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;2;1;1;51.6;;NORMAL;;0;-5397621603;-2049648113;
T-6;P-6;IFC_12_005;400;01/05/2010;26/09/2018;1;4;1;55.3;;NORMAL;;0;-5397621603;-2049648113;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;2;2;1;39.1;;NORMAL;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;2;3;1;51.6;;NORMAL;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;2;4;1;52.8;;NORMAL;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;2;5;1;37;;TORTUOSA;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;2;6;1;55;;NORMAL;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;3;1;1;42.8;;NORMAL;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;3;2;1;51.5;;NORMAL;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;3;3;1;58.2;;NORMAL;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;3;4;1;47.3;;NORMAL;;0;-5397725337;-2050647479;
T-7;P-7;IFC_12_030;400;01/06/2010;26/09/2018;3;5;1;56.3;;NORMAL;;0;-5397725337;-2050647479;
